iter	RMSE
0	1.646668303e+10
1	1.497409646e+10
2	1.366829962e+10
3	1.250952963e+10
4	1.149003359e+10
5	1.058858045e+10
6	9779397189
7	9030916467
8	8407149913
9	7890234759
10	7379380231
11	6983243996
12	6653081593
13	6317251099
14	6082684393
15	5882317634
16	5719847212
17	5562427651
18	5392935367
19	5255289073
20	5115891999
21	5020956133
22	4799491309
23	4630960843
24	4551467315
25	4459365245
26	4383406789
27	4303446618
28	4240882201
29	4147604318
30	4069463809
31	4042246318
32	3978568275
33	3914428197
34	3714412735
35	3563930341
36	3404980264
37	3345842410
38	3112293757
39	2944255453
40	2864653483
41	2742569194
42	2629116200
43	2533626267
44	2409426239
45	2260330799
46	2196275404
47	2114009312
48	2021808295
49	2002425769
