iter	Passed	Remaining
0	16	808
1	17	419
2	26	411
3	42	488
4	57	519
5	71	525
6	85	526
7	99	523
8	115	525
9	129	516
10	144	511
11	145	461
12	160	456
13	167	429
14	180	420
15	196	416
16	209	407
17	223	397
18	237	387
19	251	376
20	263	363
21	276	352
22	290	341
23	305	331
24	319	319
25	332	306
26	344	293
27	358	281
28	371	269
29	385	257
30	399	244
31	400	225
32	412	212
33	428	201
34	441	189
35	455	177
36	462	162
37	476	150
38	490	138
39	498	124
40	510	112
41	524	99
42	538	87
43	541	73
44	557	61
45	570	49
46	583	37
47	596	24
48	608	12
49	620	0
